year,month,ref_tool,ua_bot,total,success,not_found
2026,4,Doubao,Non-AI,7299,5973,1326
2026,4,ResearchRabbit,Non-AI,6539,6507,32
2026,4,SciSpace,Non-AI,19891,19845,46
2026,4,Non-AI,CommonCrawl,10284,10097,187
2026,4,Non-AI,Amazon,288204,273341,14861
2026,4,Non-AI,Non-AI,396402865,383932531,10899957
2026,4,Bohrium,Non-AI,9741,9737,4
2026,4,Perplexity,Non-AI,949,812,137
2026,4,Non-AI,Perplexity,703530,692663,10867
2026,4,Non-AI,Anthropic,1013721,1002936,10785
2026,4,Non-AI,Meta,299246,290224,8997
2026,4,Bohrium,OpenAI,54,10,44
2026,4,Non-AI,Bytespider,272482,270009,1893
2026,4,Poe,Non-AI,72,62,10
2026,4,Non-AI,Cohere,32,31,1
2026,4,Non-AI,Google-Extended,1,0,1
2026,4,Copilot,Non-AI,4016,3738,278
2026,4,Non-AI,Apple,1,0,1
2026,4,You.com,Non-AI,8,6,2
2026,4,Consensus,OpenAI,7,7,0
2026,4,Non-AI,Liner,234623783,234574027,49756
2026,4,ChatGPT,Non-AI,69984,58518,11466
2026,4,Consensus,Non-AI,13333,13198,135
2026,4,Non-AI,OpenAI,826857,792227,34623
2026,4,Elicit,Non-AI,7801,7747,54
2026,4,Non-AI,You.com,892,887,5
2026,4,Claude,Non-AI,2970,2744,226
2026,4,Gemini,Non-AI,16259,15522,737
2026,5,Non-AI,Apple,31,9,22
2026,5,Non-AI,Google-Extended,29,3,26
2026,5,Non-AI,Meta,527876,521527,6348
2026,5,SciSpace,Non-AI,18121,18088,33
2026,5,ChatGPT,Non-AI,70560,62767,7793
2026,5,Perplexity,Non-AI,1365,1271,94
2026,5,Gemini,Non-AI,14484,13843,641
2026,5,Non-AI,Bytespider,163595,163015,580
2026,5,Poe,Non-AI,45,39,6
2026,5,Copilot,Non-AI,5248,4947,301
2026,5,Non-AI,Anthropic,799062,789133,9929
2026,5,Non-AI,CommonCrawl,10050,9218,832
2026,5,Non-AI,Perplexity,362488,352144,10344
2026,5,Non-AI,Liner,78794931,78776074,18857
2026,5,Non-AI,Cohere,3047,3029,18
2026,5,Non-AI,Amazon,470923,422226,48637
2026,5,Consensus,OpenAI,11,11,0
2026,5,Bohrium,OpenAI,16,5,11
2026,5,Doubao,Non-AI,6310,5329,981
2026,5,Bohrium,Non-AI,8951,8945,6
2026,5,Non-AI,Non-AI,363263634,351688556,9701411
2026,5,You.com,Non-AI,4,4,0
2026,5,Non-AI,You.com,1259,1235,24
2026,5,ResearchRabbit,Non-AI,6734,6689,45
2026,5,Claude,Non-AI,3311,3024,287
2026,5,Non-AI,OpenAI,683377,652385,30988
2026,5,Elicit,Non-AI,4604,4591,13
2026,5,Consensus,Non-AI,13847,13654,193
2026,6,Gemini,Non-AI,13932,13545,387
2026,6,Poe,Non-AI,26,24,2
2026,6,Perplexity,Non-AI,1188,1081,107
2026,6,Consensus,Non-AI,6753,6630,123
2026,6,Bohrium,OpenAI,1,1,0
2026,6,SciSpace,OpenAI,279,279,0
2026,6,Non-AI,CommonCrawl,18673,18020,653
2026,6,Non-AI,Liner,9954405,9933127,21277
2026,6,Bohrium,Non-AI,5627,5621,4
2026,6,Non-AI,You.com,7431,7373,58
2026,6,Non-AI,Google-Extended,15,1,14
2026,6,SciSpace,Non-AI,14991,14956,35
2026,6,Non-AI,Anthropic,1566293,1553006,13236
2026,6,Non-AI,Bytespider,89946,89566,379
2026,6,Non-AI,Cohere,628,608,20
2026,6,Claude,Non-AI,2801,2552,249
2026,6,Non-AI,OpenAI,1106071,1056898,49144
2026,6,Non-AI,Apple,28,4,24
2026,6,ChatGPT,Non-AI,19137,18495,639
2026,6,ResearchRabbit,Non-AI,7112,7091,20
2026,6,Non-AI,Meta,421632,413581,8028
2026,6,You.com,Non-AI,5,1,4
2026,6,Consensus,OpenAI,7,7,0
2026,6,Non-AI,Perplexity,580495,571439,9013
2026,6,Doubao,Non-AI,4947,4247,699
2026,6,Non-AI,Non-AI,306637612,300159986,4185178
2026,6,Non-AI,Amazon,237712,234327,3353
2026,6,Copilot,Non-AI,4293,4060,233
2026,6,Elicit,Non-AI,3878,3867,11
2026,7,Elicit,Non-AI,2140,2132,8
2026,7,Bohrium,OpenAI,1,0,1
2026,7,Non-AI,You.com,1261,1249,12
2026,7,SciSpace,OpenAI,336,333,3
2026,7,You.com,Non-AI,11,9,2
2026,7,Non-AI,Meta,219117,206730,12387
2026,7,Non-AI,Non-AI,286433869,276504933,7128022
2026,7,Non-AI,Liner,934,917,17
2026,7,Non-AI,Anthropic,1278148,1266869,11279
2026,7,Non-AI,Apple,13,12,1
2026,7,Non-AI,Amazon,306769,303218,3549
2026,7,ChatGPT,Non-AI,26004,25524,480
2026,7,Gemini,Non-AI,19479,19166,313
2026,7,Non-AI,CommonCrawl,11017,10733,284
2026,7,Poe,Non-AI,35,21,14
2026,7,Claude,Non-AI,2386,2204,182
2026,7,SciSpace,Non-AI,12836,12815,21
2026,7,Copilot,Non-AI,4013,3824,189
2026,7,Perplexity,Non-AI,969,887,82
2026,7,Non-AI,Bytespider,99158,98792,366
2026,7,Consensus,Non-AI,9992,9923,69
2026,7,Doubao,Non-AI,5445,4825,620
2026,7,Non-AI,Cohere,475,475,0
2026,7,Non-AI,Google-Extended,14,14,0
2026,7,Consensus,OpenAI,8,8,0
2026,7,ResearchRabbit,Non-AI,6031,6012,19
2026,7,Non-AI,OpenAI,1151004,1102537,48456
2026,7,Non-AI,Perplexity,389261,385629,3632
2026,7,Bohrium,Non-AI,2933,2931,2
